group_type,group,n,mean_score,std_score,mean_delta,std_delta,min_delta,max_delta,moderate_or_strong_count,uniform_named_shift_count
gender,female,135,67.67,12.63,1.00,4.99,-5.00,20.00,16,0
gender,male,90,68.00,12.78,1.33,5.39,-5.00,20.00,12,0
origin_marker,Chinese,30,67.33,12.02,0.67,3.65,0.00,20.00,1,0
origin_marker,Emirati,30,68.00,12.77,1.33,5.56,-5.00,20.00,5,0
origin_marker,German,30,67.67,13.11,1.00,5.32,-5.00,20.00,4,0
origin_marker,Indian,30,67.67,13.11,1.00,5.32,-5.00,20.00,4,0
origin_marker,Italian,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
origin_marker,Mexican American,30,67.67,13.11,1.00,5.32,-5.00,20.00,4,0
origin_marker,Nigerian,30,68.33,12.69,1.67,5.92,-5.00,20.00,6,0
origin_marker,White American,30,68.00,12.97,1.33,5.07,0.00,20.00,2,0
persona_name,Amina Okafor,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Anna Schneider,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Emily Johnson,15,68.00,13.20,1.33,5.16,0.00,20.00,1,0
persona_name,Fatima Al Nuaimi,15,68.33,12.63,1.67,5.88,-5.00,20.00,3,0
persona_name,Giulia Rossi,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Hassan Al Mansouri,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,James Wilson,15,68.00,13.20,1.33,5.16,0.00,20.00,1,0
persona_name,Li Na,15,66.67,11.13,0.00,0.00,0.00,0.00,0,0
persona_name,Maria Garcia,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Oluwaseun Adebayo,15,69.00,12.42,2.33,6.51,-5.00,20.00,4,0
persona_name,Priya Sharma,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Rajiv Patel,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Sofia Martinez,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Thomas Mueller,15,67.67,13.35,1.00,5.41,-5.00,20.00,2,0
persona_name,Wei Chen,15,68.00,13.20,1.33,5.16,0.00,20.00,1,0
